street_name,street_score,street_type
St George Street,1,St
Yonge Street,1,St
Bloor Street,1,St
Queen Street,1,St
King Street,1,St
Dundas Street,1,St
Queens Park,1,Pk
University Avenue,1,Ave
Bay Street,1,St
Front Street,1,St
Spadina Avenue,1,Ave
Bathurst Street,1,St
College Street,1,St
Danforth Avenue,1,Ave
Yorkville Avenue,1,Ave
Spadina Crescent,2,Cres
Kensington Avenue,2,Ave
Augusta Avenue,2,Ave
Eglinton Avenue,2,Ave
Maitland Street,2,St
St. Clair Avenue,2,Ave
Sheppard Avenue,2,Ave
Finch Avenue,2,Ave
Lawrence Avenue,2,Ave
Steeles Avenue,2,Ave
Grosvenor Street,2,St
Grenville Street,2,St
Lake Shore Boulevard,2,Blvd
Dufferin Street,2,St
Sherbourne Street,2,St
Jarvis Street,2,St
Parliament Street,2,St
Broadview Avenue,2,Ave
Don Mills Road,2,Rd
Bayview Avenue,2,Ave
Mount Pleasant Road,2,Rd
Avenue Road,2,Rd
Leslie Street,2,St
Carlton Street,2,St
Adelaide Street West,3,St
Adelaide Street East,3,St
Richmond Street West,3,St
Richmond Street East,3,St
Jane Street,3,St
Keele Street,3,St
Victoria Park Avenue,3,Ave
Warden Avenue,3,Ave
Kennedy Road,3,Rd
Markham Road,3,Rd
Morningside Avenue,3,Ave
Islington Avenue,3,Ave
Kipling Avenue,3,Ave
Davenport Road,3,Rd
Dupont Street,3,St
Roncesvalles Avenue,3,Ave
Elm Street,3,St
Huron Street,3,St
Beverly Street,3,St
Brant Street,3,St
Portland Street,3,St
Ossington Avenue,3,Ave
Lansdowne Avenue,3,Ave
Coxwell Avenue,3,Ave
McCaul Street,3,St
Simcoe Street,3,St
Woodbine Avenue,3,Ave
Main Street,3,St
High Park Avenue,3,Ave
Runnymede Road,3,Rd
Lowther Avenue,3,Ave
Cumberland Street,3,St
Scarlett Road,3,Rd
Blue Jays Way,3,Way
Brimley Road,4,Rd
Neilson Road,4,Rd
Midland Avenue,4,Ave
Birchmount Road,4,Rd
McCowan Road,4,Rd
Bellamy Road,4,Rd
Millwood Road,4,Rd
O'Connor Drive,4,Dr
Cosburn Avenue,4,Ave
Gerrard Street East,4,St
Logan Avenue,4,Ave
Jones Avenue,4,Ave
Greenwood Avenue,4,Ave
Dovercourt Road,4,Rd
Manor Road,4,Rd
Ted Rogers Way,4,Way
Nassau Street,4,St
Euclid Avenue,4,Ave